,data_id,dataname,tasktype,trial,modelname,perf,datasize,num_prep_features,feature_sample_ratio,cat_ratio,y_imbalance_full,num_classes,highfreq_ratio_quan,cor_full,avg_cardinality,FLAG_datasize,FLAG_tasktype,FLAG_featuredim,FLAG_featurecomp_1,FLAG_featurecomp_2,FLAG_imbalance,FLAG_irregularity,FLAG_corr,FLAG_card,FLAG_fsratio,FLAG_numclass,FLAG_overall,flag,max,min,norm_perf
4838,44064,NP,regression,3,resnet,-0.8770837495369426,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.8907522369332245
4839,44064,NP,regression,3,t2g,-0.8736128370055384,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.9095960097555497
4840,44064,NP,regression,99,mlp,-0.956680763059917,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.45861572338193757
4841,44064,NP,regression,99,resnet,-0.8738737010026721,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.9081797649337524
4842,44064,NP,regression,99,ftt,-0.8739280606021754,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.9078846437128963
4843,44064,NP,regression,99,t2g,-0.8722532279145375,Large,59,0.001488245,0.271186441,0.730777873,,0.50194079,0.004154389,3.625,2,2,2,,,,,1.0,,,,0,-1,-0.8569609517601035,-1.0411550918683952,0.9169774014230669
4844,344,MV,regression,0,xgb,-0.4374013517061478,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.8503624323417085
4845,344,MV,regression,0,catb,-0.0612797185184232,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9866666390314194
4846,344,MV,regression,0,lgbm,-0.0969913376849492,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.973724964076847
4847,344,MV,regression,0,mlp,-0.028810925308534,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9984331334580704
4848,344,MV,regression,0,ftt,-0.0400578510000744,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.994357315560836
4849,344,MV,regression,0,resnet,-0.056007324455674,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9885773227748347
4850,344,MV,regression,0,t2g,-0.1051370960450635,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9707729904779042
4851,344,MV,regression,1,xgb,-0.403244380869208,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.8627407121375131
4852,344,MV,regression,1,catb,-0.0671982930404877,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9845217833948884
4853,344,MV,regression,1,lgbm,-0.6831511480341148,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.761304191397819
4854,344,MV,regression,1,mlp,-0.0672171290349394,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9845149573443387
4855,344,MV,regression,1,ftt,-0.028382962703898,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9985882245195001
4856,344,MV,regression,1,resnet,-0.1111245091894636,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9686031881406808
4857,344,MV,regression,1,t2g,-0.0385739984385319,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9948950547611352
4858,344,MV,regression,2,catb,-0.0649588570049749,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9853333414796119
4859,344,MV,regression,2,lgbm,-2.783915187349878,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.0
4860,344,MV,regression,2,ftt,-0.0422265959425484,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9935713755009918
4861,344,MV,regression,2,resnet,-0.0789745246704673,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9802541482245458
4862,344,MV,regression,2,t2g,-0.0879261660241421,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9770101274992756
4863,344,MV,regression,3,catb,-0.0671982930404877,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9845217833948884
4864,344,MV,regression,3,lgbm,-0.6831511480341148,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.761304191397819
4865,344,MV,regression,3,resnet,-0.1111245091894636,Large,10,0.00024529,0.3,0.993696072,,0.502398273,0.025291641,2.333333333333333,2,2,1,,,0.0,,,0.0,0.0,,0,-1,-0.024487270030019,-2.783915187349878,0.9686031881406808
